Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C2, C23, C24, C25, C26, C28, C6, C9",603,11,1uF,C29936 
C10,603,1,22nF,C21122 
C13,603,1,2.2nF,C107082 
"C14, C16, C17, C19, C20, C22, C8",CP_Radial_D6.3mm_P2.50mm,7,100uF,
C18,603,1,1nF,C100040 
"C21, C27, C3, C7",603,4,10uF,C96446 
"C4, C5",603,2,30pF,C113797 
"D1, D2, D3, D5, D8",805,5,LED,C19171391 
D4,D_MELF,1,SD560B,
"J1, J2, J4",PinHeader_1x05_P2.54mm_Vertical,3,Conn_01x05_Pin,
"J3, J5, J6","PhoenixContact_MSTBVA_2,5_4-G-5,08_1x04_P5.08mm_Vertical",3,Conn_01x04_Socket,
"L1, L2",L_Sunlord_MWSA1205S-R36,2,220uH,
Q1,SOT-23,1,AO3400A,C20917
"Q2, Q6",SOT-23,2,Q_NPN_BEC,C81464
Q3,SOT-223-3_TabPin2,1,NSS60600MZ4,C235754
Q4,AOSP21313C,1,AOSP21313C,
"Q5, Q7",SOT-23,2,2N7002,C916396
"R1, R11, R12, R13, R21, R27, R28, R29, R40, R41, R42",603,11,4.7K,C99782 
"R10, R23, R38, R43, R45, R46, R5, R52, R53",603,9,1K,C110776 
"R14, R15, R16, R17, R20, R22, R24, R25, R30, R32, R33, R35, R36",603,13,10K,C95204 
"R18, R19, R31, R54",603,4,100R,C122970 
"R2, R26, R3, R4, R51",603,5,133R,C5126161 
"R34, R37",603,2,2K,C844924 
R39,603,1,510R,C113299 
R47,805,1,0.511R,
R49,603,1,5.6K,C2907046 
R50,603,1,3.3K,C844928 
"R6, R7, R8, R9",805,4,SHUNT?,
"TP1, TP2, TP3, TP4, TP5, TP8, TP9",TestPoint_THTPad_2.5x2.5mm_Drill1.2mm,7,TestPoint,
U1,PIC24FJ64GA702,1,~,C641965
U10,PIC12F1501,1,~,C76411
"U11, U12, U15, U17, U18, U6, U8, U9",ZLLS500TA,8,~,C154850
"U13, U14, U5, U7",SOIC-8_3.9x4.9mm_P1.27mm,4,NCS20072D,C89845
U16,AZ34063U,1,~,C99659
U2,MSOP-10_3x3mm_P0.5mm,1,MCP4728,
U3,SOIC-18W_7.5x11.6mm_P1.27mm,1,MCP2515-xSO,C153782
U4,SN65HVD3082EDR,1,~,
Y1,Crystal_SMD_Abracon_ABM8AIG-4Pin_3.2x2.5mm,1,Crystal_GND24,C1986628
